Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.7911051212938005,0.778263534863397,0.7911051212938005,0.7477332092810606
SVM,0.7988544474393531,0.7719325301714749,0.7988544474393531,0.7782404697447781
LightGBM,0.7850404312668463,0.756105299648173,0.7850404312668463,0.7446584206690506
MLP,0.7661725067385444,0.7621782261935213,0.7661725067385444,0.7641099112999731
VADER,0.7311320754716981,0.6732963420500602,0.7311320754716981,0.6897607305572675
TextBlob,0.6900269541778976,0.673241227764896,0.6900269541778976,0.6588432714642287
